                          ▒▒▓▒▓░░                                           ,Ho une personne de ton gabarit doit être faible,Oui et alors,0,Tu peux encore prendre tes jambes a ton cou,Je pourrais facilement t’attacher avec t es bras,1,Personne n’a jamais réussi a me blesser ,Uuuuh alors je suis pas un trouillard arrête s’il te plaît,2,La Vampivol est désemparée vous remportez ce duel !!!,La Vampivol vous assène un gros coup sur la tête ; ce qui vous fait vous évanouir. Elle en profite pour vous volez un fragment.
  ▒▓▒▓▓▓▓▓▓▓▓▓▓▒▒▒▓▓▓▓▓▓▓▓▒▒▒▒░░░▒▓▓░░░▒▓▒▒▒▒▒▒▒▓▒   ░▓▒ ░ █▓▓▓▓▓▓▓▓▓▓▒▒▒▓░ ,0,0,0,0,0,0,0,0,0,0,0
  █▓▓▓▓▓▓░    ▒▓▓▓▓▓▓▓█▓▓▒▒▒▒▒▒▓▒▒▒▒▒▒▒░░░░░░░░░░▒▒▒▒▒▒░░░░▓█▒  ░▓▓▓▒▒▓▓▒▒▒ ,0,0,0,0,0,0,0,0,0,0,0
 ▓▓▓▓▓░        ▓▓▒    ▓█▓▒▒▒▒▒▒████▒░▓▓▓▓▓▒▒▒▒▒▒▒▒▒▒▓▓▓▒▒▒░▓▒    ░░    ▒▓▓▒ ,0,0,0,0,0,0,0,0,0,0,0
▒▓█▒                  ▒▓▓▒▒▒▒▒▒████▒ █████████████ ▓███░▒▒▒▓▒            ▒█ ,0,0,0,0,0,0,0,0,0,0,0
▓▓                    ▓█▓▓▒▒▒▒░▓█▓▓▓▓▓▒▒▒▒▒▒▒▓▓███████▒░▒▒░▓▒             ░ ,0,0,0,0,0,0,0,0,0,0,0
                      ▒█▓▓▓▒▒▒▒▒▓▓▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▓███▒░▒▒▒▒▓                ,0,0,0,0,0,0,0,0,0,0,0
                       ▓▓▓▓▓▒▒▒▒▒▓▓▓▒▒▒▒▒▒▒▒▒▒▒▒▒▒▓█▒░▒▒▒▒▓▒                ,0,0,0,0,0,0,0,0,0,0,0
                       ▓▓▓▓▓▓▒▒▒▒▒▒▓▓▓▓▒▒▒▒▒▒▒▓▓▓▓▓▒░▒▒▒▒▓▓                 ,0,0,0,0,0,0,0,0,0,0,0
                    ░▓█▓█▓▓▓▓▓▒▒▒▒▒▒▒▒▓▓▓▓▓▓▓▓▓▓▒▒░▒▒▒▒▒▓▓                  ,0,0,0,0,0,0,0,0,0,0,0
                   ▒█▓▓▓▓▓▓▓▓▓▓▓▓▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▓▓▒                   ,0,0,0,0,0,0,0,0,0,0,0
                   █▓▓▓▓▓▓██▓▓▓▓▓▓▒▓▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▓▓▓                     ,0,0,0,0,0,0,0,0,0,0,0
                  ▓▓▓▓▒▒▒▒▓ ░▓█▓▓▓▓▓▓▓▓▒▓▒▒▒▒▒▒▒▒▓▓▓▒                       ,0,0,0,0,0,0,0,0,0,0,0
                 ░█▓▒▒▒▒▒▓▒    ▒▓▓▓█▓▓▓▓▓▓▓▓▓▓▓▓█▓░                         ,0,0,0,0,0,0,0,0,0,0,0
                 ▒█▓▒▒▒▒▒▓░        ░▒▒▒▒▒▓█▓▓▓▓▓▓▒                          ,0,0,0,0,0,0,0,0,0,0,0
                 ▓▓▒▒▒▒▒▓▓               ▓▓▓▓▒▒▒▓▒                          ,0,0,0,0,0,0,0,0,0,0,0
                 ▓▓▒▒▒▒▒▓                ▓▓▓▒▒▒▒▓                           ,0,0,0,0,0,0,0,0,0,0,0
                 ▓▓▒▒▒▓▓                 ░█▓▒▒▒▓                            ,0,0,0,0,0,0,0,0,0,0,0
                  ▒▒▒▒░                   ░▒▒▒▒                            ,0,0,0,0,0,0,0,0,0,0,0
Un Vampivol apparaît,0,0,0,0,0,0,0,0,0,0,0
Condition : faire un score de 6,0,0,0,0,0,0,0,0,0,0,0
<end>,0,0,0,0,0,0,0,0,0,0,0
