                                                        ░  ░               ,Sous peu ; je vais t’embrocher avec ma lance,Ca m’est déjà arriver,2,J’ai parlé à des singes qui étaient plus polis que toi ,Oui et je vais t’envoyer mes piques ,2,Tu ne peux pas comparer ton esprit au mien ; pauvre idiot,Arrête s’il te plait….,3,concombrageur est confus vous remportez ce duel.,Le Concombrageur vous pique les fesses pour vous chasser ; vous laissez tomber un fragment en vous enfuyant.
      ▒█░▒▓█▓▓▓▒█▒░█ ░▒  ▓█▒▒▒█▒▒▒░█▒▒▓▒▒█░░▓▓▒▒▓▒░░▒▒ ░░░▓▓               ,0,0,0,0,0,0,0,0,0,0,0
      ▒█▒▒░░▓█▓██▒░▓▓█   █▓▒▒▒█▓░░░░▓▒▒▒▓░░▓▒░▓▒░█▒░░░░░░▒█                ,0,0,0,0,0,0,0,0,0,0,0
       █▓▒▒░ ▒██▓▒▒▒▒▓▓ █▓▒▒▒▒░██▒▒░  ░░░░▒█ ███ ▒█░░░ ░▒█░                ,0,0,0,0,0,0,0,0,0,0,0
       █▓▒▒▒░ ▓▓▒▒▒▒▒░█▓▓▒▒▒▒▒█████▓▓▓▒░░░░█▒░▓▒░█▒░▒░░▓█░                 ,0,0,0,0,0,0,0,0,0,0,0
       ▓█▒▒▒▒ ▓█▒▒▒▓▓░▓█▓▒▒▒▓█▓▓▒▒▓█████▓░  ▓▒▒▒▓░░▒░░▓█                   ,0,0,0,0,0,0,0,0,0,0,0
       ░█▒▒▒▒░ ▓█▓░▓█▓▒▓█░▒▓█▓▓▒▒▓█▓▒▒▒▓▓█▓▒░ ░░░▓▒░▒█▓                    ,0,0,0,0,0,0,0,0,0,0,0
        █▓▒▒▒▒░ ▓█▒▓██▓▓█▓░▓█▓▓▒▒▓▒▒░▒▒▒▒█████▓▓█▓░▒█▒                     ,0,0,0,0,0,0,0,0,0,0,0
        ▒█▒▒▒▒░░ ░▓█▒▓▓▒▒▓▓▓█▓▓▒▒▒▒▒▒▒▒▓███▓▓▒░▒░░▒█                       ,0,0,0,0,0,0,0,0,0,0,0
         █▓▒▒▒▒░░  ▓  ██▓░▒▓██▓▓▓▓▓▓▓██▓░░░  ░░▒░░▓▓                       ,0,0,0,0,0,0,0,0,0,0,0
          █▒▒▒▒░░░░█  █▓██▒░▓█▓▓▓███▓▓▒░░░░░▓▒▒▒▒░▒█                       ,0,0,0,0,0,0,0,0,0,0,0
          ▒█▒▒▒▒░░ █  █░▒▓█▓░▒▓▓░░░░ ░░░░░░▒▓▒▒█▓ ▓▓                       ,0,0,0,0,0,0,0,0,0,0,0
           ▒█▓▒▒▒░ ▓▒ █▒▒▒▓██▓▓██▒ ░░░  ░░ ▓▓░█▓░░█                        ,0,0,0,0,0,0,0,0,0,0,0
            ▓█▓▒▒▒░░█░█▒▒▓▓▒▓█▒▒▓██▓▓▓▒░░▒▒▓█▓▓░░█▒                        ,0,0,0,0,0,0,0,0,0,0,0
             ▓█▓▒▒░░███░▒▓▓▒▒▓█▓▓▒█▒ █▓█▓▓▓▒▒░░▒█░                         ,0,0,0,0,0,0,0,0,0,0,0
              ▒█▓▒▒▒░▓█▒▒▒█▒▒▒██▒▓▒█▓▒▒▒▒░░▒▒▓▓██░▒▓▒▓▓     ░░             ,0,0,0,0,0,0,0,0,0,0,0
                ██▓▒▒▓█▒▒▒▓▓▒▒▒██░ ▓█▓▓▓▓▓▓▓██▒▒█▓▒░░░█  ░▓▓▓█             ,0,0,0,0,0,0,0,0,0,0,0
                 ▓█▓▒▓█▓▒▒▒█▒▒░▓█▓██▓▓▒▒██▒▒▒▓▒▒░▒▓▓▒░▓▓▓▓▒░█▓             ,0,0,0,0,0,0,0,0,0,0,0
                  ░██▓█▓▒▒▒▓▓▒▒▒▒▒▒▓██▓▒░▓█▒░▓▒▒██ ▓▓░██▒▒▒█▓              ,0,0,0,0,0,0,0,0,0,0,0
                    ░▓██▒▒▒▓█▒▒▒▒░░ ░▓██▓░▒▓▓▓▒▒▓▓ ▒▓▒▓▒▒▓█▓               ,0,0,0,0,0,0,0,0,0,0,0
                       ▒█▒▒▒▓█▒▒▒▒▒░  ▒██▓▒░▓█▓▒█  ░█▒▒▒▓█▓                ,0,0,0,0,0,0,0,0,0,0,0
                        ▒█▒▒▒▓█▓▒▒▒▒▒▒░▒▓█▓▓▒░▓█▓  ▓█▓▓██░                 ,0,0,0,0,0,0,0,0,0,0,0
                         ▒█▓▒▒▓▓▓▓▒▒▒▒▒▒░▓█▓▓▒▓█▓▒▒▒▓▓▓░                   ,0,0,0,0,0,0,0,0,0,0,0
                           ▓█▓▒▒▓▓▓▓▓▓▓▓▓▓▓████▓▒▓██░                      ,0,0,0,0,0,0,0,0,0,0,0
                            ░▓█▓▒▒▓▓▓▓█████▓▓█▓██░ ██▓▓▒░                  ,0,0,0,0,0,0,0,0,0,0,0
                              ▓█▒▒█▓▒▒▒▒▒▒   █▓█▓▒  █▓▒▒▓▓▓░               ,0,0,0,0,0,0,0,0,0,0,0
                              ▒█▒▒█ ░▒▓      ▒▓▓██▓░░█▒   ░▓▒              ,0,0,0,0,0,0,0,0,0,0,0
                              ░█▒▒▓██▓▒█         ███▓█▓  ░  ▓▓             ,0,0,0,0,0,0,0,0,0,0,0
                               █▓▓▓▒▓▒▒█░        ▒█▓███▓     ▓▓            ,0,0,0,0,0,0,0,0,0,0,0
                               ░▓▓▓█▓▓▒█          ██▓▒▒▓▓░    ▓▓           ,0,0,0,0,0,0,0,0,0,0,0
                                  ▒█▓▒▓█          ░█▒░░░▓█▒    ▓▓          ,0,0,0,0,0,0,0,0,0,0,0
                                ▒█▓▓▓▓█▒           ░▓▓▓▓▓▓██    ▓▓         ,0,0,0,0,0,0,0,0,0,0,0
                                ███▓▓▓░              ░▓██▓▓██▓   ▓▓        ,0,0,0,0,0,0,0,0,0,0,0
                                                        ▓██▓▓██░  ▓▓       ,0,0,0,0,0,0,0,0,0,0,0
                                                          ▒▓█▓▓█▓  ▓▓      ,0,0,0,0,0,0,0,0,0,0,0
                                                            ░▓████▒ ▒▓     ,0,0,0,0,0,0,0,0,0,0,0
                                                               ▓███▓ ▒▓    ,0,0,0,0,0,0,0,0,0,0,0
                                                               ▓███▓ ▒▓    ,0,0,0,0,0,0,0,0,0,0,0
                                                                   ░▓███▒  ,0,0,0,0,0,0,0,0,0,0,0
                                                                      ▓██░ ,0,0,0,0,0,0,0,0,0,0,0
                                                                        ░  ,0,0,0,0,0,0,0,0,0,0,0
Un Concombrageur apparaît,0,0,0,0,0,0,0,0,0,0,0
Condition : faire un score de 6,0,0,0,0,0,0,0,0,0,0,0
<end>,0,0,0,0,0,0,0,0,0,0,0
