7,7,7,7,7,7,7,7,7,70/\,7,7,7,7,70/\,7,7,70/\,7,70 /,70\/,70\ ,7,70 /,70\/,70\ ,7,7   1,7   1,0   2duniya_plain,5   2duniya_plain,5   2duniya_plain,0   2duniya_plain,0   2duniya_plain,7   1,7   1,7,70 /,70\/,70\ ,70 /,70\/,70\ ,7,70/\,7,70/\,7,7,70/\,7,7,7,7,70/\,7,7,7,7,7,7,70/\,7,7
7,7,75||,7,7   1,0,0,0,0,0,0,0,0,1   1,16 ~1,1   1,1   1,0,0,0,0,0,0,0,0,5,5,05* ,0,02 *,0,0,0,0,0,0,0,0,0,0,0,0,0,05||1,0,0,0,0,57 |1,0,0,0,0,0,07 /,37\ 1,3   1,07\ ,07 /,07\/1,07\ ,0,7   1,7
7,7,7,7   1,0,0,04* ,0,0,0,07__,0,0,1   1,1   1,1   1,1   1,0,0,0,0,0,04* ,0,5,5,5,0,0,07__,07__,07__,07__,07__,07__,07__,07__,07__,0,0,0,0,0,0,0,07/\1,0,0,57 |1,0,0,54/\1,0,0,37/_1,37_\1,37__1,37_\1,0,05||1,0,0,7   1,70/\
7,70/\,7   1,0,0,0,0,03 *,0,07 \,32**4Mage Nouyé,0,0,0,1   1,1   1,1   1,0,0,0,0,0,0,0,5,5,0,0,07 /,4   1,4   1,4   1,4   1,47 /1,1   1,1   1,1   1,17/|1,0,0,0,0,0,0,07 /,07\/1,07\ ,03 *,57 |1,0,0,05* ,0,0,0,0,0,0,0,0,0,0,70 /1,70\/
70 /,70\/,70\ 1,0,0,0,07 _,07__,07__,07__,0,0,0,0,0,1   1,1   1,0,03 *,0,0,05* ,0,0,5,5,0,0,47/_1,47__1,47__1,47__1,47__1,17/_1,17__1,17__1,17_/1,27 |1,0,0,0,0,03 *,0,0,05||1,0,0,0,0,0,0,72^^4Patrick,0,0,0,05* ,5,0,03 *,0,0,7   1,75||
7,75||1,0,0,07__,07__,37/_1,37__1,37__1,37_/1,07__,07__,07__,07_ ,0,1   1,1   1,0,0,0,0,0,0,0,5,5,02 *,0,47| 1,4   1,4   1,4   1,47 |1,27| 1,2   1,2   1,27 |1,27 |1,0,0,0,0,0,0,0,0,0,0,03 *,0,0,0,0,0,0,0,0,0,0,0,07/\1,0,0,7   1
7,7   1,0,07 /,3   1,3   1,17| 1,1   1,1   1,17 |1,3   1,3   1,3   1,37/|1,0,1   1,1   1,0,0,0,0,0,0,5,5,5,0,0,47| 1,67/\1,4   1,67/\1,47 |1,27| 1,2   1,67/\1,27 |1,27 |1,0,0,0,0,0,0,0,0,0,0,0,0,07/\1,0,0,0,0,0,5,0,5,07 /,07\/1,07\ ,0,7   1
7,7   1,0,37/_1,37__1,37__1,17| 1,67[-1,67-]1,17 |1,37__1,37__1,37_/1,27 |1,0,1   1,1   1,1   1,0,0,0,0,04* ,5,5,0,0,0,47| 1,4   1,47__1,4   1,47 |1,27| 1,27__1,2   1,27 |1,27 /1,0,02 *,0,0,0,04* ,0,0,0,0,0,07 /,07\/1,07\ ,03 *,0,0,5,5,5,0,0,05||1,0,0,7   1
7   1,0,0,17| 1,1   1,1   1,1   1,67[-1,67-]1,1   1,1   1,1   1,17 |1,27 |1,0,0,1   1,1   1,0,0,0,0,0,5,5,0,0,0,47|_1,47__1,72||2house_south_1,47__1,47_|1,27|_1,71||2house_south_2,27__1,27_|1,07/ ,0,0,07__,0,0,0,0,0,0,0,0,0,05||1,0,0,0,5,5,5,0,0,0,0,0,0,7   1
7   1,0,0,17| 1,1   1,1   1,1   1,1   1,1   1,1   1,1   1,1   1,17 |1,27 |1,0,0,1   1,1   1,0,0,0,0,0,5,5,02 *,0,0,0,0,5,0,0,0,5,0,0,0,0,0,31**4Mage Icien,07/ ,0,0,0,0,0,0,0,0,0,0,0,5,5,5,0,04* ,0,0,0,0,7   1,70/\
7   1,0,0,17| 1,1   1,1   1,1   1,1   1,1   1,1   1,1   1,1   1,17 |1,27 |1,0,0,1   1,1   1,1   1,0,0,0,0,5,5,0,0,0,0,0,5,5,5,5,5,0,0,0,0,0,0,0,0,0,0,02 *,0,0,0,0,0,0,0,5,5,0,0,0,0,02 *,0,0,70 /1,70\/
7   1,0,0,17| 1,63/\1,1   1,17Ta1,17ve1,17rn1,17e 1,1   1,63/\1,17 |1,27 |1,0,0,0,1   1,1   1,1   1,0,05* ,0,5,5,0,0,0,0,0,0,0,5,5,0,03 *,0,0,0,0,0,05* ,0,0,0,0,0,0,0,04* ,0,0,0,5,5,03 *,0,0,0,0,0,0,7   1,75||
7   1,0,0,17| 1,1   1,1   1,1   1,17__1,17__1,1   1,1   1,1   1,17 |1,27 |1,0,0,0,1   1,1   1,1   1,0,0,0,5,5,03 *,0,0,0,0,0,0,5,5,0,0,0,0,02 *,0,0,0,0,5,5,5,5,5,0,0,0,02 *,5,5,5,0,0,07__,0,0,05* ,0,7   1,7
7   1,0,0,17| 1,1   1,1   1,1   1,73| 1,73 |1,1   1,1   1,1   1,17 |1,27 |1,0,0,0,0,1   1,1   1,0,0,0,5,5,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,5,5,5,5,5,5,5,5,5,5,5,5,5,0,0,30**4Mage Ourné,07/ ,0,0,7   1,7,7
7   1,0,0,17|_1,17__1,17__1,17__1,73| 2house_hero_1,73 |2house_hero_1,17__1,17__1,17__1,17_|1,07/ ,0,0,0,0,1   1,1   1,0,0,0,5,5,5,0,0,0,0,0,5,5,5,5,0,0,0,0,0,5,5,5,5,0,0,0,5,5,5,5,5,5,5,0,0,0,0,0,0,0,7   1,7,70/\
7   1,0,0,0,02* ,0,0,5   3,5,03* ,0,04* ,0,0,0,0,76--1,76--1,76--1,76--1,76--1,76--1,0,0,5,5,0,0,0,05* ,5,5,5,5,5,5,0,0,0,5,5,5,5,5,0,0,0,02 *,0,0,0,05* ,0,0,0,02 *,0,0,0,0,0,7   1,70 /,70\/
7   1,0,0,04* ,0,0,0,5,5,5,5,5,5,5,5,5,57'',57'',57'',57'',57'',57'',5,5,5,5,5,0,0,5,5,5,65/ ,65 \,5,5,5,0,5,5,5,5,0,03 *,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7   1,7,7,75||
7   1,0,0,0,0,05* ,0,5,5,5,5,5,5,5,5,5,57..,57..,57..,57..,57..,57..,5,5,5,5,5,5,5,5,5,65/ ,16 ~1,1   1,65 \,5,5,5,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1   1,1   1,1   1,1   1,1,1,1
7,7   1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76--1,76--1,76--1,76--1,76--1,76--1,0,04* ,0,5,5,5,5,5,5,65\ ,1   1,16~ 1,65 /,5,5,5,5,5,0,0,0,0,0,0,0,1   1,1   1,1   1,1   1,1   1,1   1,1   1,1   1,1   1,1   1,1   1,1   1,1   1,1   1,1,1,1
7,7   1,0,0,0,02 *,0,0,0,0,0,0,0,0,0,0,0,0,1   1,1   1,0,0,0,0,0,0,0,0,0,5,5,5,65\ ,65 /,5,5,5,0,0,0,0,0,0,0,0,1   1,1   1,1   1,1   1,1   1,1   1,1   1,1   1,1   1,1   1,1   1,1   1,1   1,1   1,7   1,7,7,7,7
7,70/\1,0,0,0,0,0,0,0,73^^4Balin,0,02 *,0,0,0,0,0,0,1   1,1   1,0,0,0,0,0,0,0,02 *,0,0,5,5,5,5,5,5,0,0,0,02 *,0,0,0,0,1   1,1   1,1   1,1   1,1   1,0,0,0,0,0,0,0,0,0,0,7,70/\,7,7,7
70 /,70\/1,70\ 1,0,0,0,0,05* ,0,0,04* ,0,0,05* ,0,0,03 *,0,1   1,1   1,0,03 *,0,0,0,0,0,0,0,0,0,5,5,5,5,0,0,0,0,0,0,0,0,1   1,1   1,1   1,1   1,0,0,0,0,0,07__,07__,07__,07__,05* ,0,7   1,70 /,70\/,70\ ,70/\,7
7,75||,7   1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1   1,1   1,0,0,0,0,05* ,0,0,0,70^^4Temie,0,0,0,5,5,0,0,0,0,0,0,0,0,0,1   1,1   1,1   1,0,0,0,0,0,07 /,3   1,3   1,3   1,37/|1,0,0,7   1,7,75||,70 /,70\/,70\ 
7,7,7,7   1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1   1,1   1,0,0,0,0,0,0,03 *,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,1   1,1   1,0,0,0,0,04* ,0,37/_1,37__1,37__1,37_/1,67 |1,0,04* ,7   1,70/\,7,7,75||,7
7,70/\,7,70/\,7   1,0,0,0,0,0,0,0,0,0,04* ,0,0,0,1   1,1   1,0,0,0,0,0,0,0,0,0,03 *,0,0,5,5,0,0,0,0,04* ,0,0,76--1,76--1,76--1,76--1,76--1,76--1,0,0,0,0,67| 1,6   1,6   1,67 |1,67 |1,0,0,70 /1,70\/,70\ ,7,70/\,7
70 /,70\/,70\/,70\/,70\ 1,0,04* ,0,0,0,03 *,0,0,0,0,0,0,0,1   1,1   1,0,0,02 *,0,0,0,0,0,0,0,0,0,5,5,5,5,5,5,5,5,5,57'',57'',57'',57'',57'',57'',5,5,0,0,67| 1,6   1,36/\1,67 |1,67 |1,0,0,7   1,75||,70/\,70 /,70\/,70\ 
7,75||,7,75||,7   1,0,0,0,0,0,0,0,0,0,0,0,0,0,1   1,1   1,0,0,0,0,0,0,0,04* ,0,0,0,0,5,5,5,5,5,5,5,5,5,57..,57..,57..,57..,57..,57..,5,5,5,0,67| 1,67__1,6   1,67 |1,67 /1,0,0,7   1,70 /,70\/,70\ ,75||,7
1,1,1,1,1,1   1,1   1,1   1,0,0,0,0,0,0,0,1   1,1   1,1   1,1,1,1   1,1   1,0,0,0,0,0,0,0,0,0,0,5,5,0,0,03 *,0,0,0,0,76--1,76--1,76--1,76--1,76--1,76--1,0,5,5,0,67|_1,73||2house_south_3,67__1,67_|1,07/ ,05* ,0,7   1,7,75||,7,7,7
1,1,1,1,1,1,1,1,1   1,1   1,1   1,1   1,1   1,1   1,1   1,1,1,1,1,1,1,1,1   1,1   1,0,0,0,0,05* ,0,0,0,5,5,0,0,0,0,0,0,0,0,0,1   1,1   1,0,0,0,5,5,0,0,5,0,0,0,0,0,7   1,7,7,7,70/\,7
1,1,1,16~ ,1,1,1,1,1,1,1,1,1,1,16~ ,1,1,1,16~ ,1,1,1,1,1,1   1,0,0,0,0,0,0,76[ 1,57: ,57 :,76 ]1,0,0,0,0,0,0,1   1,1   1,1   1,1   1,0,0,03 *,5,5,5,5,5,0,03 *,0,0,0,7   1,7,70/\,70 /,70\/,70\ 
1,1,1,1,1,1,1,1,1,1,16~ ,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1   1,0,0,0,0,0,76[ 1,57: ,57 :,76 ]1,0,0,0,0,0,1   1,1   1,1   1,1   1,1   1,0,05* ,0,0,5,5,5,0,0,0,0,02 *,0,7   1,70 /,70\/,70\ ,75||,7
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16~ ,1,1,1,1,1,1   1,1   1,1   1,1   1,1   1,76[ 1,57: ,57 :,76 ]1,1   1,1   1,1   1,1   1,1   1,1   1,1   1,1   1,1   1,0,0,0,0,04* ,0,0,0,0,0,0,0,0,0,0,7   1,75||,7,7,7
1,1,1,1,1,1,1,16~ ,1,1,1,56||,1,1,1,1,16~ ,1,1,1,1,1,1,16~ ,1,1,1,1   1,1   1,1   1,1   1,76[ 1,57: ,57 :,76 ]1,1   1,1   1,1   1,1   1,1   1,1   1,1   1,1   1,1   1,0,0,0,0,0,0,03 *,0,0,0,0,04* ,0,0,0,7   1,7,7,70/\,7
1,1,1,1,1,1,1,1,1,1,67[ ,56||,67 \,1,1,1,1,1,1,1,1,1,1,1,1,1,1   1,0,0,0,0,76[ 1,57: ,57 :,76 ]1,0,0,0,0,0,1   1,1   1,1   1,1   1,1   1,1   1,1   1,1   1,0,0,0,0,0,05* ,0,0,0,0,0,0,7   1,70 /,70\/,70\ 
1,1,16~ ,1,1,1,1,1,1,16~ ,67[ ,56||,6,67 \,1,1,1,1,1,1,1,16~ ,1,1,1,1   1,0,0,0,0,0,76[ 1,57: ,57 :,76 ]1,0,0,0,0,0,0,1   1,1   1,1   1,1   1,1   1,1   1,1   1,1   1,1   1,1   1,0,0,0,0,76^^4Purypas,0,0,0,0,7   1,7,75||,70/\
1,1,1,1,1,1,1,1,1,1,67[ ,56||,6,67 /,1,1,1,1,1,1,1,1,1,1,1   1,0,0,0,02 *,0,0,0,5,5,0,0,0,05* ,0,0,0,0,0,1   1,1   1,1   1,1   1,1   1,1   1,1   1,1   1,1   1,0,0,0,0,02 *,0,0,0,7   1,7,70 /,70\/
1,1,1,1,1,1,1,16~ ,1,1,67[ ,56||,67 /,1,1,1,1,16~ ,1,1,1,1,1,1   1,0,0,04* ,0,0,0,0,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1   1,1   1,1   1,1   1,1   1,1   1,0,04* ,0,0,0,05* ,0,0,7   1,7,75||
1,1,16~ ,1,1,1,1,1,1,1,1,56||,1,1,1,1,1,1,1,1   1,1   1,1   1,1   1,1   1,0,0,0,0,0,0,5,5,5,0,0,0,07__,03 *,0,0,0,05* ,0,02 *,0,0,0,0,0,0,1   1,1   1,1   1,0,0,0,0,0,0,0,0,7   1,7,70/\
1,1,1,1,1,1,1,1,4,4,1,56||,1,4,4,1,1,1,1   1,57||,57||,57||,57||,0,0,0,03 *,0,0,5,5,5,0,0,0,0,35**4Mage Ongue,07/ ,0,0,0,0,0,0,05* ,0,05 *,0,0,0,0,1   1,1   1,0,0,0,05* ,0,0,0,0,0,70 /1,70\/
1,1,1,1,1,1,1,1,6,6,4,4,4,6,6,1,16~ ,1,1   1,57||,57||,57||,57||,0,0,0,0,0,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,05* ,0,05 *,0,0,04* ,1   1,1   1,0,0,0,0,0,0,0,0,0,7   1,75||
1,1,1,1,1,1,1,1,6,61 o,61 o,6,61o ,61o ,6,1,1,1,1,1   1,1   1,1   1,0,02 *,0,0,0,5,5,5,0,0,0,07__,07__,07__,07__,07__,07__,07__,07__,07__,0,05* ,0,0,75^^4Gorase,0,0,0,0,1   1,1   1,1   1,0,0,0,0,0,04* ,0,0,7   1,7
1,1,1,16~ ,1,1,1,1,1,6,6,6,6,6,1,16~ ,1,1,1,1   1,1   1,0,0,0,0,0,0,5,5,0,0,0,07 /,5   1,5   1,5   1,5   1,57 /1,2   1,2   1,2   1,27/|1,0,0,0,05* ,0,0,05* ,0,1   1,1   1,1   1,1   1,0,03 *,0,0,0,0,0,0,7   1,70/\
1,1,1,1,1,1,16~ ,1,1,1,16~ ,1,1,1,1,1,1,1,1   1,0,0,0,0,0,0,05* ,0,5,5,0,0,0,57/_1,57__1,57__1,57__1,57__1,27/_1,27__1,27__1,27_/1,17 |1,0,0,0,0,05* ,0,0,1   1,1   1,1   1,1   1,1   1,1   1,0,0,0,0,0,0,0,70 /1,70\/
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1   1,0,0,0,0,03 *,0,0,0,0,5,5,05* ,0,0,37| 1,3   1,3   1,3   1,37 |1,17| 1,1   1,1   1,17 |1,17 |1,0,0,0,0,0,0,1   1,1   1,16~ 1,1   1,1   1,1   1,1   1,0,0,02 *,0,05* ,0,0,7   1,75||
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,7   1,0,0,0,04* ,0,0,0,0,5,5,0,0,0,37| 1,65/\1,3   1,65/\1,37 |1,17| 1,1   1,62/\1,17 |1,17 |1,0,0,03 *,0,0,0,1   1,1   1,1   1,1   1,16~ 1,1   1,1   1,0,0,0,0,0,0,0,7   1,7
1,1,16~ ,1,1,1,1,1,1,16~ ,1,1,16~ ,1,1,1,1,7,70/\,7,0,0,0,0,05* ,0,0,5,5,0,0,0,37| 1,3   1,37__1,3   1,37 |1,17| 1,17__1,1   1,17 |1,17 /1,0,0,0,0,0,1   1,1   1,1   1,1   1,1   1,1   1,1   1,1   1,02 *,0,0,0,0,02 *,0,7   1,7
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,70 /,70\/,70\ ,7   1,0,0,0,0,02 *,0,0,5,5,0,0,37|_1,37__1,73||2house_south_4,37__1,37_|1,17|_1,72||2house_south_5,17__1,17_|1,07/ ,0,0,0,0,0,1   1,1   1,16~ 1,1   1,1   1,1   1,1   1,0,0,0,03 *,0,0,0,0,7   1,70/\
1,1,1,1,1,16~ ,1,1,1,1,1,1,1,1,1,1,7,7,75||,7,7,7   1,0,0,0,0,0,0,0,5,5,0,0,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,1   1,1   1,1   1,1   1,0,0,0,0,0,0,0,0,0,7   1,70 /,70\/
1,1,1,1,1,1,1,1,16~ ,1,1,1,1,1,1,7,7,7,7,7,7,70/\,7   1,7   1,70/\1,7   1,0,0,0,0,5,5,5,5,5,5,5,5,5,0,0,0,0,0,0,04* ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7   1,7,7,75||
1,1,16~ ,1,1,1,1,1,1,1,1,16~ ,1,1,1,7,70/\,7,7,7,70 /,70\/,70\ ,70 /,70\/,70\ ,7   1,7   1,70/\1,0,0,0,0,0,0,0,0,0,0,0,0,0,05* ,0,0,0,0,0,0,0,0,0,0,02 *,0,0,0,0,0,7   1,7,70/\,7,7
1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,70 /,70\/,70\ ,7,7,7,75||,7,7,75||,7,70/\,70 /,70\/,70\ 1,7   1,70/\1,7   1,7   1,7   1,70/\1,0,0,0,0,0,0,0,0,0,0,0,05* ,0,0,0,0,0,0,0,7   1,70/\1,7   1,7   1,7,70 /,70\/,70\ ,7
1,1,1,1,16~ ,1,1,16~ ,1,1,1,1,1,7,7,7,75||,7,7,70/\,7,7,7,70/\,7,70 /,70\/,70\ ,75||,7,70 /,70\/,70\ ,7,70 /,70\/,70\ 1,7   1,7   1,7   1,0,0,0,0,0,02 *,0,0,0,7   1,70/\1,7   1,7   1,70/\1,7   1,70 /,70\/,70\ ,7,70/\,7,75||,7,7
1,1,1,1,1,1,1,1,1,1,1,1,7,70/\,7,7,7,7,70 /,70\/,70\ ,7,70 /,70\/,70\ ,7,75||,70/\,7,7,7,75||,7,7,7,75||,7,7,7,70/\,7   1,7   1,7   1,7   1,7   1,70/\1,7   1,7   1,7   1,70 /,70\/,70\ ,70 /,70\/,70\ ,7,75||,7,70 /,70\/,70\ ,7,70/\,7
1,1,1,1,1,1,1,1,1,1,7,7,70 /,70\/,70\ ,7,7,7,7,75||,7,7,7,75||,7,7,70 /,70\/,70\ ,7,7,7,7,7,7,7,7,7,70 /,70\/,70\ ,7,7,7,70 /,70\/,70\ ,7,7,7,75||,7,7,75||,7,7,7,7,7,75||,7,70 /,70\/,70\ 
